STATE,District Name,Commodity,Modal_Price,Date,Price_per_kg,Price_display
Haryana,fatehabad,Potato,826.0,31-May-2025,8.26,₹ 8.26 / kg
Haryana,gurgaon,Onion,1207.5892857142858,31-May-2025,12.08,₹ 12.08 / kg
Haryana,gurgaon,Potato,1082.2727272727273,31-May-2025,10.82,₹ 10.82 / kg
Haryana,jind,Onion,1027.2727272727273,31-May-2025,10.27,₹ 10.27 / kg
Haryana,jind,Potato,938.0281690140844,31-May-2025,9.38,₹ 9.38 / kg
Haryana,kaithal,Onion,1365.4128440366972,31-May-2025,13.65,₹ 13.65 / kg
Haryana,kaithal,Potato,898.6861313868613,31-May-2025,8.99,₹ 8.99 / kg
Haryana,karnal,Onion,1293.4065934065934,31-May-2025,12.93,₹ 12.93 / kg
Haryana,karnal,Potato,1015.108695652174,31-May-2025,10.15,₹ 10.15 / kg
Haryana,kurukshetra,Onion,1119.3885350318471,31-May-2025,11.19,₹ 11.19 / kg
Haryana,kurukshetra,Potato,857.6818181818181,31-May-2025,8.58,₹ 8.58 / kg
Haryana,mewat,Onion,1236.4864864864865,31-May-2025,12.36,₹ 12.36 / kg
Haryana,mewat,Potato,1108.5365853658536,31-May-2025,11.09,₹ 11.09 / kg
Haryana,palwal,Onion,1230.0,31-May-2025,12.3,₹ 12.3 / kg
Haryana,palwal,Potato,932.3076923076924,31-May-2025,9.32,₹ 9.32 / kg
Haryana,panchkula,Onion,1521.09375,31-May-2025,15.21,₹ 15.21 / kg
Haryana,panchkula,Potato,919.1780821917808,31-May-2025,9.19,₹ 9.19 / kg
Haryana,panipat,Onion,1139.1304347826087,31-May-2025,11.39,₹ 11.39 / kg
Haryana,panipat,Potato,706.0344827586207,31-May-2025,7.06,₹ 7.06 / kg
Haryana,rewari,Onion,1330.7692307692307,31-May-2025,13.31,₹ 13.31 / kg
Haryana,rewari,Potato,1120.909090909091,31-May-2025,11.21,₹ 11.21 / kg
Haryana,rohtak,Onion,1025.0,31-May-2025,10.25,₹ 10.25 / kg
Haryana,rohtak,Potato,888.5245901639345,31-May-2025,8.89,₹ 8.89 / kg
Haryana,sirsa,Onion,1202.1341463414635,31-May-2025,12.02,₹ 12.02 / kg
Haryana,sirsa,Potato,956.1702127659574,31-May-2025,9.56,₹ 9.56 / kg
Haryana,sonipat,Onion,1297.2972972972973,31-May-2025,12.97,₹ 12.97 / kg
Haryana,sonipat,Potato,1111.392405063291,31-May-2025,11.11,₹ 11.11 / kg
Haryana,yamuna nagar,Onion,1169.0604026845638,31-May-2025,11.69,₹ 11.69 / kg
Haryana,yamuna nagar,Potato,835.2364864864865,31-May-2025,8.35,₹ 8.35 / kg
Himachal Pradesh,chamba,Onion,1959.25925925926,31-May-2025,19.59,₹ 19.59 / kg
Himachal Pradesh,chamba,Potato,1269.2307692307693,31-May-2025,12.69,₹ 12.69 / kg
Himachal Pradesh,hamirpur,Onion,1530.3191489361702,31-May-2025,15.3,₹ 15.3 / kg
Himachal Pradesh,hamirpur,Potato,1379.5833333333333,31-May-2025,13.8,₹ 13.8 / kg
Himachal Pradesh,hamirpur,Rice,3245.972222222222,31-May-2025,32.46,₹ 32.46 / kg
Himachal Pradesh,kangra,Onion,1850.0,31-May-2025,18.5,₹ 18.5 / kg
Himachal Pradesh,kangra,Potato,1237.9746835443038,31-May-2025,12.38,₹ 12.38 / kg
Himachal Pradesh,kullu,Onion,1882.8947368421047,31-May-2025,18.83,₹ 18.83 / kg
Himachal Pradesh,kullu,Potato,1288.157894736842,31-May-2025,12.88,₹ 12.88 / kg
Himachal Pradesh,mandi,Onion,1577.2727272727273,31-May-2025,15.77,₹ 15.77 / kg
Himachal Pradesh,mandi,Potato,1144.078947368421,31-May-2025,11.44,₹ 11.44 / kg
Himachal Pradesh,shimla,Onion,1720.5882352941176,31-May-2025,17.21,₹ 17.21 / kg
Himachal Pradesh,shimla,Potato,1735.483870967742,31-May-2025,17.35,₹ 17.35 / kg
Himachal Pradesh,solan,Onion,1480.0,31-May-2025,14.8,₹ 14.8 / kg
Himachal Pradesh,solan,Potato,1126.0,31-May-2025,11.26,₹ 11.26 / kg
Himachal Pradesh,una,Onion,1506.0975609756097,31-May-2025,15.06,₹ 15.06 / kg
Himachal Pradesh,una,Potato,1003.6585365853658,31-May-2025,10.04,₹ 10.04 / kg
Jammu & Kashmir,jammu,Onion,1708.59375,31-May-2025,17.09,₹ 17.09 / kg
Jammu & Kashmir,jammu,Potato,1208.955223880597,31-May-2025,12.09,₹ 12.09 / kg
Jammu & Kashmir,kathua,Onion,1405.7692307692307,31-May-2025,14.06,₹ 14.06 / kg
Jammu & Kashmir,kathua,Potato,848.0769230769231,31-May-2025,8.48,₹ 8.48 / kg
Jammu & Kashmir,rajouri,Onion,2207.692307692308,31-May-2025,22.08,₹ 22.08 / kg
Jammu & Kashmir,rajouri,Potato,1489.2857142857142,31-May-2025,14.89,₹ 14.89 / kg
Jammu & Kashmir,udhampur,Onion,1906.5217391304348,31-May-2025,19.07,₹ 19.07 / kg
Jammu & Kashmir,udhampur,Potato,1421.7391304347825,31-May-2025,14.22,₹ 14.22 / kg
Jammu and Kashmir,anantnag,Onion,2016.6666666666667,31-May-2025,20.17,₹ 20.17 / kg
Jammu and Kashmir,anantnag,Potato,1620.8333333333333,31-May-2025,16.21,₹ 16.21 / kg
Karnataka,bangalore,Onion,1971.428571428572,31-May-2025,19.71,₹ 19.71 / kg
Karnataka,bangalore,Potato,2650.0,31-May-2025,26.5,₹ 26.5 / kg
Karnataka,bangalore,Rice,6133.333333333333,31-May-2025,61.33,₹ 61.33 / kg
Karnataka,belgaum,Onion,2500.0,31-Mar-2025,25.0,₹ 25.0 / kg
Karnataka,belgaum,Potato,1800.0,31-Mar-2025,18.0,₹ 18.0 / kg
Karnataka,belgaum,Rice,4575.0,31-May-2025,45.75,₹ 45.75 / kg
Karnataka,bijapur,Onion,1575.0,28-Feb-2025,15.75,₹ 15.75 / kg
Karnataka,chikmagalur,Onion,1981.7894736842104,31-May-2025,19.82,₹ 19.82 / kg
Karnataka,chikmagalur,Potato,2075.458333333333,31-May-2025,20.75,₹ 20.75 / kg
Karnataka,chikmagalur,Rice,2500.0,31-May-2025,25.0,₹ 25.0 / kg
Karnataka,chitradurga,Rice,2575.0,31-May-2025,25.75,₹ 25.75 / kg
Karnataka,davangere,Onion,1673.3333333333333,31-May-2025,16.73,₹ 16.73 / kg
Karnataka,davangere,Potato,2241.0526315789475,31-May-2025,22.41,₹ 22.41 / kg
Karnataka,davangere,Rice,2890.243243243244,31-May-2025,28.9,₹ 28.9 / kg
Karnataka,dharwad,Onion,1136.2068965517242,31-May-2025,11.36,₹ 11.36 / kg
Karnataka,dharwad,Potato,1728.571428571429,31-May-2025,17.29,₹ 17.29 / kg
Karnataka,hassan,Onion,1000.0,31-May-2025,10.0,₹ 10.0 / kg
Karnataka,hassan,Potato,1700.0,31-May-2025,17.0,₹ 17.0 / kg
Karnataka,hassan,Rice,5252.0,30-Apr-2025,52.52,₹ 52.52 / kg
Karnataka,haveri,Rice,2300.0,31-May-2025,23.0,₹ 23.0 / kg
Karnataka,kolar,Onion,1782.5,31-May-2025,17.82,₹ 17.82 / kg
Karnataka,kolar,Potato,1805.357142857143,31-May-2025,18.05,₹ 18.05 / kg
Karnataka,kolar,Rice,5612.777777777777,31-May-2025,56.13,₹ 56.13 / kg
Karnataka,koppal,Rice,2507.6363636363635,31-May-2025,25.08,₹ 25.08 / kg
Karnataka,mandya,Onion,1833.3333333333333,31-May-2025,18.33,₹ 18.33 / kg
Karnataka,mandya,Rice,2577.5,31-May-2025,25.78,₹ 25.78 / kg
Karnataka,mysore,Onion,1487.5,31-May-2025,14.88,₹ 14.88 / kg
Karnataka,mysore,Potato,1500.0,31-May-2025,15.0,₹ 15.0 / kg
Karnataka,mysore,Rice,5078.133333333333,31-May-2025,50.78,₹ 50.78 / kg
Karnataka,shimoga,Onion,2052.3809523809523,31-May-2025,20.52,₹ 20.52 / kg
Karnataka,shimoga,Potato,2761.904761904762,31-May-2025,27.62,₹ 27.62 / kg
Karnataka,shimoga,Rice,4329.446428571428,31-May-2025,43.29,₹ 43.29 / kg
Karnataka,tumkur,Onion,2033.3333333333333,31-May-2025,20.33,₹ 20.33 / kg
Karnataka,tumkur,Potato,2800.0,31-May-2025,28.0,₹ 28.0 / kg
Karnataka,tumkur,Rice,4102.0625,31-May-2025,41.02,₹ 41.02 / kg
Karnataka,udupi,Onion,1808.8235294117649,31-May-2025,18.09,₹ 18.09 / kg
Karnataka,udupi,Potato,2200.0,31-May-2025,22.0,₹ 22.0 / kg
Kerala,alappuzha,Onion,3632.5925925925926,31-May-2025,36.33,₹ 36.33 / kg
Kerala,alappuzha,Potato,3395.3846153846152,31-May-2025,33.95,₹ 33.95 / kg
Kerala,ernakulam,Onion,2905.3763440860216,31-May-2025,29.05,₹ 29.05 / kg
Kerala,ernakulam,Potato,3596.791443850268,31-May-2025,35.97,₹ 35.97 / kg
Kerala,idukki,Onion,3618.3098591549297,31-May-2025,36.18,₹ 36.18 / kg
Kerala,idukki,Potato,3389.2473118279568,31-May-2025,33.89,₹ 33.89 / kg
Kerala,idukki,Rice,4150.0,31-May-2025,41.5,₹ 41.5 / kg
Kerala,kannur,Onion,2176.923076923077,31-May-2025,21.77,₹ 21.77 / kg
Kerala,kannur,Potato,2886.6666666666665,31-May-2025,28.87,₹ 28.87 / kg
Kerala,kollam,Onion,3476.8115942028985,31-May-2025,34.77,₹ 34.77 / kg
Kerala,kollam,Potato,3671.264367816092,31-May-2025,36.71,₹ 36.71 / kg
Kerala,kottayam,Onion,3879.1979166666665,31-May-2025,38.79,₹ 38.79 / kg
Kerala,kottayam,Potato,3656.953642384106,31-May-2025,36.57,₹ 36.57 / kg
Kerala,kottayam,Rice,4768.421052631579,31-May-2025,47.68,₹ 47.68 / kg
Kerala,malappuram,Onion,2557.429487179488,31-May-2025,25.57,₹ 25.57 / kg
Kerala,malappuram,Potato,2586.608695652174,31-May-2025,25.87,₹ 25.87 / kg
Kerala,malappuram,Rice,4750.0,31-May-2025,47.5,₹ 47.5 / kg
Kerala,thiruvananthapuram,Onion,3320.3007518796994,31-May-2025,33.2,₹ 33.2 / kg
Kerala,thiruvananthapuram,Potato,3992.982456140351,31-May-2025,39.93,₹ 39.93 / kg
Madhya Pradesh,bhind,Potato,800.0,31-May-2025,8.0,₹ 8.0 / kg
