STATE,District Name,Commodity,Date,Modal_Price
Delhi,delhi,Onion,30-04-2025,1403.55223880597
Delhi,delhi,Onion,31-05-2025,1054.9733333333334
Delhi,delhi,Onion,30-06-2025,1149.5833333333333
Delhi,delhi,Potato,31-01-2025,1474.8840579710145
Delhi,delhi,Potato,28-02-2025,929.9830508474575
Delhi,delhi,Potato,31-03-2025,1092.357142857143
Delhi,delhi,Potato,30-04-2025,1052.5151515151515
Delhi,delhi,Potato,31-05-2025,1048.407894736842
Delhi,delhi,Potato,30-06-2025,1196.25
Delhi,delhi,Rice,30-04-2025,4400.0
Delhi,delhi,Rice,31-05-2025,5450.666666666667
Delhi,delhi,Rice,30-06-2025,9800.0
Gao,north goa,Potato,30-04-2025,2000.0
Gao,north goa,Potato,31-05-2025,2000.0
Gao,north goa,Potato,30-06-2025,1800.0
Gujarat,ahmedabad,Onion,28-02-2025,2862.8571428571427
Gujarat,ahmedabad,Onion,31-03-2025,2030.2083333333333
Gujarat,ahmedabad,Onion,30-04-2025,1208.695652173913
Gujarat,ahmedabad,Onion,31-05-2025,1065.7407407407406
Gujarat,ahmedabad,Onion,30-06-2025,1181.25
Gujarat,ahmedabad,Potato,31-01-2025,1834.042553191489
Gujarat,ahmedabad,Potato,28-02-2025,1504.0
Gujarat,ahmedabad,Potato,31-03-2025,1292.156862745098
Gujarat,ahmedabad,Potato,30-04-2025,1358.9622641509434
Gujarat,ahmedabad,Potato,31-05-2025,1349.6478873239437
Gujarat,ahmedabad,Potato,30-06-2025,1430.0
Gujarat,anand,Onion,28-02-2025,2576.315789473684
Gujarat,anand,Onion,31-03-2025,2101.1627906976746
Gujarat,anand,Onion,30-04-2025,1517.6136363636365
Gujarat,anand,Onion,31-05-2025,1369.977777777778
Gujarat,anand,Onion,30-06-2025,1305.5555555555557
Gujarat,anand,Potato,31-01-2025,1655.0
Gujarat,anand,Potato,28-02-2025,1276.0869565217392
Gujarat,anand,Potato,31-03-2025,1052.3809523809523
Gujarat,anand,Potato,30-04-2025,1219.7727272727273
Gujarat,anand,Potato,31-05-2025,1285.5555555555557
Gujarat,anand,Potato,30-06-2025,1269.4444444444443
Gujarat,bharuch,Onion,28-02-2025,1923.076923076923
Gujarat,bharuch,Onion,31-03-2025,1790.2439024390244
Gujarat,bharuch,Onion,30-04-2025,1202.7027027027027
Gujarat,bharuch,Onion,31-05-2025,1133.3333333333333
Gujarat,bharuch,Onion,30-06-2025,1258.3333333333333
Gujarat,bharuch,Potato,31-01-2025,1830.7692307692307
Gujarat,bharuch,Potato,28-02-2025,1264.4444444444443
Gujarat,bharuch,Potato,31-03-2025,1079.245283018868
Gujarat,bharuch,Potato,30-04-2025,1360.8695652173913
Gujarat,bharuch,Potato,31-05-2025,1458.0
Gujarat,bharuch,Potato,30-06-2025,1505.0
Gujarat,bhavnagar,Onion,28-02-2025,1706.0975609756097
Gujarat,bhavnagar,Onion,31-03-2025,1322.2448979591836
Gujarat,bhavnagar,Onion,30-04-2025,802.6785714285714
Gujarat,bhavnagar,Onion,31-05-2025,684.6491228070175
Gujarat,bhavnagar,Onion,30-06-2025,940.3571428571428
Gujarat,bhavnagar,Potato,31-01-2025,2898.5416666666665
